ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
2-9,Présidentielle,2022,1,2022-04-10,01,08,02,01,9,110.0,1734.0,1331.0,1331,12.0,1.0,1318.0,2,19.0,541.0,11.0,59.0,70.0,390.0,33.0,132.0,46,5.0,10.0,48.86934995063152,2.349526531524736
14-29,Présidentielle,2022,1,2022-04-10,11,53,14,14,29,96.0,1631.0,1328.0,1328,17.0,6.0,1305.0,1,18.0,465.0,18.0,49.0,67.0,396.0,33.0,168.0,69,11.0,10.0,48.836356390486486,2.326090722824814
19-19,Présidentielle,2022,1,2022-04-10,16,75,19,19,19,17.0,1296.0,862.0,862,10.0,9.0,843.0,3,15.0,147.0,9.0,78.0,34.0,472.0,13.0,25.0,19,12.0,16.0,48.88539200436449,2.3960449675505333
10-28,Présidentielle,2022,1,2022-04-10,05,37,10,10,28,72.0,1381.0,1083.0,1083,13.0,1.0,1069.0,6,30.0,317.0,5.0,33.0,72.0,387.0,30.0,119.0,62,5.0,3.0,48.88258021136814,2.3537885552359086
18-44,Présidentielle,2022,1,2022-04-10,03,69,18,18,44,5.0,1300.0,804.0,804,9.0,4.0,791.0,3,8.0,161.0,8.0,109.0,42.0,393.0,19.0,26.0,11,4.0,7.0,48.899256428504906,2.3328925076858846
16-9,Présidentielle,2022,1,2022-04-10,14,62,16,16,9,71.0,1260.0,1013.0,1013,7.0,3.0,1003.0,0,5.0,495.0,10.0,52.0,179.0,66.0,8.0,26.0,153,1.0,8.0,48.86208057255922,2.2833980889872105
15-36,Présidentielle,2022,1,2022-04-10,12,58,15,15,36,91.0,1610.0,1354.0,1354,17.0,4.0,1333.0,3,24.0,526.0,22.0,68.0,121.0,289.0,25.0,94.0,137,2.0,22.0,48.84081485560384,2.3174931775609857
14-9,Présidentielle,2022,1,2022-04-10,11,55,14,14,9,81.0,1579.0,1296.0,1296,19.0,3.0,1274.0,3,34.0,494.0,16.0,50.0,83.0,334.0,33.0,118.0,93,4.0,12.0,48.828780069963955,2.3244233198239175
6-6,Présidentielle,2022,1,2022-04-10,02,21,06,06,6,59.0,1191.0,947.0,947,7.0,1.0,939.0,3,11.0,427.0,11.0,57.0,87.0,164.0,16.0,74.0,73,5.0,11.0,48.85274392298177,2.3421066217122557
10-38,Présidentielle,2022,1,2022-04-10,05,38,10,10,38,87.0,1615.0,1332.0,1332,7.0,8.0,1317.0,2,31.0,507.0,9.0,35.0,56.0,425.0,35.0,165.0,40,4.0,8.0,48.87164068446581,2.350675980972926
9-22,Présidentielle,2022,1,2022-04-10,01,36,09,09,22,95.0,1414.0,1158.0,1159,10.0,4.0,1145.0,4,18.0,508.0,10.0,35.0,84.0,254.0,28.0,114.0,71,5.0,14.0,48.87813603301632,2.348129898072157
18-38,Présidentielle,2022,1,2022-04-10,03,69,18,18,38,79.0,1683.0,1330.0,1330,20.0,3.0,1307.0,3,22.0,461.0,8.0,81.0,61.0,414.0,41.0,139.0,51,8.0,18.0,48.89223502874685,2.3380556963311263
16-40,Présidentielle,2022,1,2022-04-10,14,61,16,16,40,43.0,1543.0,1085.0,1085,9.0,9.0,1067.0,1,10.0,390.0,14.0,112.0,151.0,213.0,17.0,43.0,102,4.0,10.0,48.83988915625032,2.266707591194073
17-62,Présidentielle,2022,1,2022-04-10,04,65,17,17,62,77.0,1498.0,1236.0,1236,11.0,3.0,1222.0,1,7.0,593.0,17.0,54.0,160.0,137.0,18.0,61.0,164,1.0,9.0,48.877804527398666,2.287630197336887
12-19,Présidentielle,2022,1,2022-04-10,08,46,12,12,19,50.0,1565.0,1177.0,1178,11.0,4.0,1163.0,6,26.0,337.0,15.0,86.0,78.0,423.0,35.0,82.0,56,10.0,9.0,48.843267077388326,2.3902834097520715
